"8:00","8:30","⏰","morning"
"8:30","9:00","📺","netflix"
"9:00","9:30","🧘","meditation"
"9:30","10:00","📖","reading"
"10:00","10:30","🧑🏻‍💻","code"
"10:30","11:00","🧑🏻‍💻","code"
"11:00","11:30","🧑🏻‍💻","code"
"11:30","12:00","🧑🏻‍💻","code"
"12:00","12:30","🍜","dinner"
"12:30","13:00","🍜","dinner"
"13:00","13:30","🎸","guitar"
"13:30","14:00","🎸","guitar"
"14:00","14:30","🎾","sport"
"14:30","15:00","🎾","sport"
"15:00","15:30","📺","netflix"
"15:30","16:00","📺","netflix"
"16:00","16:30","📖","reading or learn"
"16:30","17:00","📖","reading or learn"
"17:00","17:30","🌿","free time"
"17:30","18:00","🌿","free time"
"18:00","18:30","🧑🏻‍💻","code"
"18:30","19:00","🧑🏻‍💻","code"
"19:00","19:30","🧑🏻‍💻","code"
"19:30","20:00","🧑🏻‍💻","code"
"20:00","20:30","🎸","guitar"
"20:30","21:00","🎸","guitar"
"21:00","21:30","🌿","free time"
"21:30","22:00","🌿","free time"
"22:00","22:30","🌿","free time"
"22:30","23:00","🌿","free time"
"23:00","23:30","🌿","free time"
"23:30","0:00","🌿","free time"
"0:00","0:30","🌿","free time"
"0:30","1:00","🥱","wind down"
